Rank Team                            W-L-T    Rating
515  Kansas Wesleyan                 7-3-0   -21.543
516  Millikin                        4-6-0  -21.7107
517  Augsburg                        4-6-0  -21.7368
518  Franklin & Marshall             6-5-0  -21.7611
519  Dubuque                         4-6-0  -21.7921
520  Kentucky St                     3-8-0  -21.9045
521  Norwich                         8-3-0  -22.3898
522  Concordia AL                    4-4-0    -22.56
523  Waynesburg                      6-4-0  -22.8097
524  Washington and Lee              8-3-0  -22.9472
525  Luther                          5-5-0  -23.5494
526  Bacone                          3-8-0  -23.5944
527  Western St CO                   1-10-0 -23.8134
528  Millersville                    2-9-0  -24.0322
529  Texas Lutheran                  4-6-0  -24.0528
530  Benedictine IL                  8-3-0  -24.2064
531  Jamestown                       5-5-0  -24.4508
532  Virginia Union                  3-7-0  -24.4982
533  Kean                            5-5-0  -24.6752
534  Carroll WI                      7-3-0  -24.6957
535  Puget Sound                     2-7-0     -24.7
536  Carleton                        3-7-0  -24.7716
537  Hartwick                        4-5-0  -24.9626
538  Southern Nazarene               7-4-0  -25.3877
539  Rochester                       4-5-0  -25.5249
540  RPI                             6-4-0  -25.7314
541  St Lawrence                     5-6-0  -25.7767
542  Loras                           5-5-0  -25.7978
543  Lebanon Valley                  6-5-0  -25.8777
544  Moravian                        7-4-0  -25.9618
545  Widener                         5-5-0  -26.1543
546  Endicott                        9-3-0   -26.226
547  Bridgewater VA                  8-2-0  -26.3979
548  Buffalo St                      4-6-0    -26.43
549  Sterling                        7-3-0  -26.5223
550  Wilkes                          6-5-0  -26.7317
551  Albright                        5-5-0   -26.747
552  Marietta                        2-8-0   -27.054
553  Pomona-Pitzer                   1-8-0  -27.5907
554  Buena Vista                     3-7-0  -27.6236
555  Stillman                        3-8-0  -27.6573
556  Howard Payne                    2-8-0  -27.7218
557  Christopher Newport             6-5-0  -27.8139
558  Austin                          4-5-0  -27.8371
559  Hope                            3-7-0  -27.8423
560  Muskingum                       3-7-0  -27.8433
561  Framingham St                   9-2-0  -28.0926
562  Oberlin                         4-6-0  -28.1115
563  Trinity TX                      4-6-0  -28.2074
564  William Jewell                  4-7-0  -28.3595
565  Union NY                        2-7-0  -28.3675
566  Doane                           3-7-0  -28.3744
567  Sul Ross St                     1-8-0  -28.6992
568  Notre Dame OH                   2-9-0  -28.7127
569  Aurora                          7-3-0   -28.776
570  Beloit                          5-5-0  -28.7862
571  Miles                           3-8-0  -28.7864
572  Western New England             9-2-0   -28.796
573  Defiance                        6-4-0  -28.9551
574  Monmouth IL                     6-4-0  -28.9704
575  Valley City St                  4-6-0  -29.1556
576  St Anselm                       2-8-0  -29.2738
577  Lane                            0-10-0 -29.2769
578  Maine Maritime                  8-3-0  -29.2825
579  St Paul's                       2-8-0  -29.3807
580  West Virginia St                0-10-0 -29.4648
581  Greenville                      7-3-0  -29.9108
582  Curry                           6-4-0   -30.172
583  Simpson                         2-8-0  -30.1761
584  Carnegie Mellon                 4-6-0   -30.236
585  Salve Regina                    6-4-0   -30.358
586  LaGrange                        3-7-0  -30.3759
587  Faulkner                        3-7-0  -30.4614
588  OK Panhandle St                 6-5-0  -30.7514
589  Friends                         6-4-0  -31.0678
590  Concordia NE                    4-7-0  -31.1305
591  North Park                      2-8-0  -31.7271
592  Cheyney                         1-10-0 -31.8198
593  Hanover                         7-3-0  -31.8782
594  Lincoln MO                      2-9-0  -32.2018
595  St Vincent                      3-7-0  -32.2343
596  Lakeland                        4-6-0  -32.3267
597  Lindsey Wilson                  5-6-0  -32.3287
598  Mt St Joseph                    5-5-0  -32.4048
599  Wisconsin Lutheran              6-4-0  -32.4068
600  Dickinson                       3-7-0  -32.4332
601  New Jersey                      5-5-0  -32.6391
602  Merchant Marine                 4-6-0  -33.0066
603  McDaniel                        5-5-0   -33.067
604  Trinity Int'l                   3-8-0  -33.5075
605  King's PA                       1-9-0  -33.6529
