Rank Team                            W-L-T    Rating
487  Ottawa                          9-2-0  -19.9677
488  Lebanon Valley                  3-7-0  -20.0192
489  Cortland St                     5-5-0  -20.0221
490  Whitworth                       6-4-0  -20.0303
491  Clark Atlanta                   2-7-0  -20.0639
492  Otterbein                       5-5-0  -20.1945
493  Bethel TN                       5-6-0  -20.1998
494  Randolph-Macon                  5-5-0  -20.2501
495  Johnson C. Smith                3-7-0  -20.2615
496  Mississippi College             0-9-0  -20.3303
497  Montclair St                    8-2-0  -20.3785
498  Moravian                        5-5-0  -20.5314
499  Chicago                         8-1-0  -20.6378
500  Maryville                       7-3-0   -20.928
501  Willamette                      5-4-0   -21.027
502  Shaw                            3-7-0  -21.1333
503  Juniata                         5-5-0  -21.2424
504  St Augustine's                  3-7-0  -21.3479
505  Rhodes                          8-2-0  -21.5751
506  Bethany WV                      6-4-0  -21.5849
507  Augsburg                        4-6-0   -21.586
508  Albion                          6-4-0  -21.7602
509  Methodist                       6-4-0  -21.8368
510  Friends                         8-3-0  -21.8764
511  Illinois College                7-3-0  -21.9934
512  RPI                             6-4-0  -22.3079
513  Tabor                           7-4-0  -22.3143
514  Trinity Int'l                   3-7-0   -22.383
515  Davidson                        0-10-0 -22.4544
516  Western Conn St                 7-3-0  -22.5107
517  Western New England             8-2-0   -22.902
518  Dickinson                       3-7-0  -22.9044
519  Buena Vista                     5-5-0  -23.1131
520  Graceland                       6-5-0  -23.1236
521  Denison                         6-4-0  -23.2916
522  Christopher Newport             7-3-0  -23.3413
523  UW-Stout                        2-8-0  -23.3455
524  East Texas Baptist              4-6-0   -23.555
525  Claremont-Mudd-Scripps          5-4-0  -23.7926
526  Susquehanna                     2-8-0  -23.8314
527  Warner U.                       5-5-0  -23.9191
528  Westminster PA                  4-6-0  -24.0003
529  McMurry                         2-8-0  -24.3056
530  Ohio Wesleyan                   6-4-0  -24.4321
531  Chowan                          2-8-0  -24.7798
532  NW Oklahoma St                  3-7-0  -24.8711
533  Union KY                        1-9-0  -25.0238
534  Paine                           2-8-0  -25.0865
535  MIT                             9-0-0  -25.1077
536  Menlo                           3-8-0  -25.1132
537  Doane                           7-3-0  -25.1179
538  Case Western Reserve            3-7-0  -25.2618
539  Evangel                         5-6-0  -25.7449
540  Cal Lutheran                    4-5-0  -25.7921
541  Springfield                     5-5-0  -25.9657
542  Olivet Nazarene                 2-9-0  -26.1508
543  Frostburg St                    4-6-0  -26.4932
544  Kentucky Wesleyan               5-4-0  -26.5185
545  Illinois Wesleyan               4-6-0   -26.519
546  Simpson                         3-7-0  -26.8881
547  Hartwick                        2-8-0  -27.0083
548  Albright                        6-4-0  -27.1713
549  Hope                            6-4-0  -27.4823
550  Salve Regina                    6-4-0  -27.6262
551  Dickinson St                    7-4-0  -27.6643
552  Augustana IL                    5-5-0  -27.8146
553  Rose-Hulman                     7-3-0  -27.8832
554  Shenandoah                      4-6-0  -28.0004
555  North Carolina Wesleyan         5-5-0   -28.145
556  Sterling                        7-4-0  -28.1824
557  Millersville                    1-10-0 -28.2824
558  UW-Eau Claire                   1-9-0  -28.4816
559  King's PA                       4-6-0  -28.4858
560  St Scholastica                  10-0-0 -28.4866
561  Union NY                        2-8-0  -28.5762
562  St Vincent                      4-6-0  -28.7316
563  Luther                          5-5-0  -28.8941
564  Southern Nazarene               0-11-0 -29.0307
565  Concordia NE                    5-6-0  -29.0949
566  Washington U.                   4-6-0  -29.1539
567  Worcester St                    7-3-0  -29.5369
568  Wooster                         4-6-0  -29.5738
569  Central Methodist               5-6-0   -29.592
570  Pace                            1-10-0 -29.7149
571  Trinity TX                      4-6-0   -29.731
572  Belhaven                        2-9-0  -29.8016
573  Endicott                        5-5-0  -29.8938
574  Limestone                       1-9-0  -29.9679
575  Bethany KS                      6-5-0  -30.3464
